0; Zero
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_6; Punto 6 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_7; Punto 7 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_8; Punto 8 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.FLOWRATE_9; Punto 9 portata curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.NUMBER; Numero punti curva O2
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_1; Punto 1 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_10; Punto 10 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_11; Punto 11 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_12; Punto 12 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_13; Punto 13 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_14; Punto 14 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_15; Punto 15 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_16; Punto 16 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_17; Punto 17 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_18; Punto 18 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_19; Punto 19 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_2; Punto 2 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_20; Punto 20 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_21; Punto 21 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_3; Punto 3 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_4; Punto 4 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_5; Punto 5 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_6; Punto 6 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_7; Punto 7 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_8; Punto 8 segnale curva caratteristica aria comburente
AMARC.FORNO.RATIO_CURVE.O2.SIGNAL_9; Punto 9 segnale curva caratteristica aria comburente
AMARC.FORNO.SP_MAN; Set Forno manuale forno 0-100%
AMARC.FORNO.SP_OPE; Regolatore Master Caldaia - Set point operatore
AMARC.FORNO.SP_SEPO; Regolatore Master Caldaia - Set point sepo
AMARC.FORNO.START; 
AMARC.FORNO.START.CANN_AUX; 
AMARC.FORNO.START.CANN_PRINC; 
AMARC.FORNO.START.LAVAGGIO; 
AMARC.FORNO.TEMPOLAVAGGIO; Tempo lavaggio
AMARC.FORNO.VALIDITALAVAGGIO; Tempo validità  lavaggio
AMARC.FORNO.VENTILATORE; Ventilatore aria combustione disponibile
AMARC.FORNO.VENTILATORE_ON; Ventilatore aria combustione in marcia
AMARC.FSLL.F416A; Bassissima portata aria comburente
AMARC.FSLL.F416B; 
AMARC.FSLL.FORNO; Minima portata aria per caldaia
AMARC.FSLL.FORNO.SOGLIA; Soglia di minima portata per funzionamento forno
AMARC.FSLL.RISCALDATORI; Minima portata aria per riscaldatori
AMARC.FSLL.RISCALDATORI.SOGLIA; Soglia di minima portata per funzionamento riscaldatori
AMARC.FSLL.RISCALDATORI.VAR_MIN; Variazione minima gradi/min per riscaldatori in serie
AMARC.GASOLIO.CANNA.AUX.LAV; Bruciatore ausiliario lavaggio in corso
AMARC.GASOLIO.CANNA.AUX.NOT_ON; Canna ausiliaria gasolio non accesa
AMARC.GASOLIO.CANNA.AUX.ON; Canna ausiliaria gasolio accesa
AMARC.GASOLIO.CANNA.PRINC.LAV; Bruciatore centrale lavaggio in corso
AMARC.GASOLIO.CANNA.PRINC.NOT_ON; Canna centrale gasolio non accesa
AMARC.GASOLIO.CANNA.PRINC.ON; Canna centrale Gasolio accesa
AMARC.GASOLIO.CONT.PAR; Litri Gasolio Parziali
AMARC.GASOLIO.CONT.TOT; Litri Gasolio
AMARC.GASOLIO.TENTATIVIACCENSIONEPILOTA; Numero di tentativi di accensione del pilota
AMARC.GENERAL_SAFE_CONSENT; Consenso generale sicuro
AMARC.MISURE.DP454.ALM; Anomalia sonda Dp monte valle SCR 1
AMARC.MISURE.DP454.MIS; Diff. di press. monte valle Risc. 1
AMARC.MISURE.DP455.ALM; Anomalia sonda Dp monte valle SCR 2
AMARC.MISURE.DP455.MIS; Diff. di press. monte valle Risc. 2
AMARC.MISURE.DP456.ALM; Anomalia sonda Dp monte valle SCR 3
AMARC.MISURE.DP456.MIS; Diff. di press. monte valle Risc. 3
AMARC.MISURE.DP457.ALM; Anomalia sonda Dp monte valle SCR 4
AMARC.MISURE.DP457.MIS; Diff. di press. monte valle Risc. 4
AMARC.MISURE.FT353.ALM; Anomalia sonda portata gasolio
AMARC.MISURE.FT353.FSHH.CANNA_1; Portata gasolio massima per prima canna
AMARC.MISURE.FT353.FSLL.CANNA_1; Portata gasolio minima per prima canna
AMARC.MISURE.FT353.FSLL.CANNA_2; Portata gasolio minima per seconda canna
AMARC.MISURE.FT353.MIS; Portata gasolio
AMARC.MISURE.FT353.OUT; Out regolatore gasolio
AMARC.MISURE.FT415.ALM; Anomalia sonda portata aria combustione
AMARC.MISURE.FT415.K; Coefficiente di taratura
AMARC.MISURE.FT415.MIS; Portata aria combustione
AMARC.MISURE.FT415.OUT; LAVAGGIO RICHIESTO DA BMS
AMARC.MISURE.PT308.MIS; Pressione ingresso forno
AMARC.MISURE.PT309.MIS; Pressione uscita forno
AMARC.MISURE.PT311.ALM; Anomalia sonda PIT311 - Pressione ingresso Test-rig
AMARC.MISURE.PT311.MIS; Pressione ingresso Test-rig
